product_code,total_sales,total_prev_week_1_sales,total_prev_week_2_sales,total_weeks,sales_trend
1330055401.0,11.92,8.94,7.45,4,Rising
1330055502.0,8.37,5.58,2.79,3,Rising
1330055538.0,9.8,7.35,2.45,3,Rising
1330055539.0,4.9,2.45,0.0,2,Rising
1330057902.0,14.85,13.2,9.9,4,Rising
1330060028.0,22.99,16.72,12.54,4,Rising
1330060133.0,58.8,56.35,53.9,7,Rising
1330060235.0,22.99,20.9,18.81,6,Rising
1330060271.0,29.26,25.08,20.9,5,Rising
1330060320.0,3.3,1.65,0.0,2,Rising
1330060330.0,9.9,8.25,4.95,3,Rising
1330060350.0,4.95,1.65,0.0,2,Rising
1330060389.0,33.44,29.26,20.9,6,Rising
1330060441.0,18.81,16.72,12.54,5,Rising
1330060590.0,52.25,50.16,39.71,8,Rising
1330060675.0,12.54,10.45,6.27,3,Rising
1330060676.0,16.72,14.63,12.54,5,Rising
1330060689.0,20.9,16.72,14.63,5,Rising
1330060690.0,2.7,0.0,0.0,1,Almost
1330060708.0,7.25,0.0,0.0,1,Almost
1330060772.0,14.5,0.0,0.0,1,Almost
1330060796.0,4.18,2.09,0.0,2,Rising
1330060820.0,37.47,29.52,21.57,5,Rising
1330060911.0,35.53,31.35,25.08,5,Rising
1330065330.0,13.16,6.58,3.29,3,Rising
1330076040.0,38.85,33.67,31.08,7,Rising
1330076050.0,38.85,36.26,31.08,6,Rising
1330076060.0,54.39,49.21,46.62,7,Rising
1330076080.0,15.54,12.95,5.18,3,Rising
1330076120.0,12.95,10.36,7.77,4,Rising
1330076150.0,38.85,33.67,31.08,6,Rising
1330076310.0,19.53,16.74,13.95,5,Rising
1330076425.0,2.79,0.0,0.0,1,Almost
1330076460.0,25.9,23.31,18.13,6,Rising
1330079480.0,22.14,18.45,14.76,4,Rising
1330079590.0,14.76,11.07,0.0,2,Rising
1340900004.0,97.11,86.32,75.53,5,Rising
1340912841.0,12.87,8.58,4.29,3,Rising
1340912842.0,4.29,0.0,0.0,1,Almost
1340912844.0,47.19,42.9,38.61,7,Rising
1340934115.0,324.45,290.46,281.19,7,Rising
1340934341.0,55.84,48.86,41.88,7,Rising
1340935100.0,157.59,151.41,142.14,7,Rising
1340935150.0,203.94,173.04,139.05,5,Rising
1340935175.0,66.31,62.82,59.33,6,Rising
1340935231.0,136.11,132.62,108.19,8,Rising
1340945132.0,111.8,106.21,78.26,7,Rising
1340945133.0,44.72,33.54,27.95,5,Rising
1340951519.0,74.16,64.89,58.71,7,Rising
1340951520.0,210.12,191.58,179.22,7,Rising
1340951529.0,67.96,50.97,33.98,3,Rising
1340951537.0,78.26,72.67,67.08,7,Rising
1340951598.0,61.8,58.71,55.62,5,Rising
1340951627.0,43.26,40.17,27.81,4,Rising
1340951724.0,25.74,8.58,4.29,3,Rising
1340951740.0,6.18,3.09,0.0,2,Rising
1340951741.0,25.74,21.45,17.16,5,Rising
1340951742.0,21.45,17.16,12.87,4,Rising
1340951756.0,8.58,0.0,0.0,1,Almost
1340951767.0,12.87,8.58,0.0,2,Rising
1340951771.0,4.29,0.0,0.0,1,Almost
1340991810.0,760.14,747.78,645.81,8,Rising
1356200004.0,28.49,25.9,15.54,6,Rising
1356200045.0,10.36,5.18,0.0,2,Rising
1356230016.0,12.95,10.36,0.0,2,Rising
1356230060.0,2.59,0.0,0.0,1,Almost
1356230084.0,10.36,7.77,5.18,3,Rising
1362860887.0,26.95,21.56,16.17,4,Rising
1365815214.0,41.99,0.0,0.0,1,Almost
1370000614.0,37.5,31.25,12.5,4,Rising
1370001651.0,21.98,0.0,0.0,1,Almost
1370001655.0,10.99,0.0,0.0,1,Almost
1370001657.0,43.96,32.97,21.98,3,Rising
1370001668.0,43.96,21.98,10.99,3,Rising
1370011830.0,27.45,21.96,16.47,4,Rising
1370020016.0,65.61,51.03,29.16,3,Rising
1370021725.0,23.98,11.99,0.0,2,Rising
1370021735.0,32.97,10.99,0.0,2,Rising
1370021755.0,32.97,10.99,0.0,2,Rising
1370024519.0,37.98,18.99,0.0,2,Rising
1370026358.0,49.41,43.92,32.94,5,Rising
1370027690.0,19.96,14.97,0.0,2,Rising
1370028265.0,24.25,14.55,4.85,3,Rising
1370034130.0,76.93,65.94,43.96,4,Rising
1370035815.0,35.1,29.25,23.4,5,Rising
1370036236.0,38.8,29.1,9.7,3,Rising
1370038469.0,10.59,0.0,0.0,1,Almost
1370041929.0,286.15,281.3,237.65,8,Rising
1370042777.0,4.99,0.0,0.0,1,Almost
1370053949.0,35.55,31.6,27.65,5,Rising
1370072635.0,17.55,11.7,0.0,2,Rising
1370081220.0,19.74,13.16,9.87,4,Rising
1370081415.0,23.03,19.74,16.45,5,Rising
1370082215.0,36.19,23.03,13.16,6,Rising
1370082410.0,46.06,39.48,32.9,6,Rising
1370085740.0,10.99,0.0,0.0,1,Almost
1370086048.0,79.96,59.97,39.98,4,Rising
1370087038.0,19.99,0.0,0.0,1,Almost
1370090750.0,67.9,63.05,48.5,6,Rising
1370097946.0,5.85,0.0,0.0,1,Almost
1380004708.0,39.6,34.65,19.8,5,Rising
1380010018.0,64.35,54.45,29.7,6,Rising
1380010067.0,90.86,84.37,71.39,5,Rising
1380010070.0,89.1,69.3,59.4,6,Rising
1380010072.0,138.6,123.75,99.0,7,Rising
1380010115.0,39.6,34.65,29.7,4,Rising
