"sale_date","sale_id","product_code","product_description","qty","total_sales","sub_department_description","sale_type","item_ring_type"
"2025-05-15 00:00:00","174211","5300006833.0","BDN SLC NAT PPR JK 6 OZ","1","2.5","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","124303","5300004885.0","BDN FIN SHRD CHDR JACK 8 OZ","1","2.5","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","149854","5242760450.0","GORILLA SHIPNG TAPE 35 YD","1","13.99","Paint and Paint Supplies","Sale","ITEM"
"2025-05-15 00:00:00","106393","5200005910.0","GAT FP 16.9OZ 12L","1","1","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","479658","5200004328.0","GAT ZERO GLACIER FREEZE 28OZ 15L 28 OZ","1","2.09","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","124312","5200005490.0","GATORADE WATER 700ML 700 ML","1","1.99","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","149781","5171261760.0","FUSE CART TIME DELAY 30A","1","22.99","Electrical Supplies","Sale","ITEM"
"2025-05-15 00:00:00","174214","5100012308.0","V8 JUICE ACE PLS 46 OZ","1","3.5","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124284","5100021242.0","CAMP SOUP CREAM MUSHROOM 22.6 OZ","1","3.89","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124273","5100021446.0","SWANSON STOCK CHICKEN BOX 32 OZ","1","3.89","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479690","5100006276.0","HUNGRYMAN BNLS FRIED CHKN 16 OZ","1","3.49","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124334","5100006349.0","HUNGRYMAN FRIED PCRN CHKN 14 OZ","1","3.49","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","106351","4900007937.0","POWERADE LEMON LIME 28 OZ","1","1.89","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","124321","4900054515.0","GOLD PEAK ZERO SUGAR SWEET TEA 59 OZ","1","3.49","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","479646","4920005675.0","DOMINO LIGHT BROWN SUGAR 16 OZ","1","2.69","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374562","5000012078.0","COFMAT VANILLA BEAN 32 OZ","1","6.65","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","374546","4670404940.0","TGIF SPINACH ARTICHOKE DIP 8 OZ","1","4.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124230","4470002454.0","OM HAM AND SWISS LUNCHABLE 3.2 OZ.","1","2","Meat","Sale","ITEM"
"2025-05-15 00:00:00","149843","4400008193.0","CHIPS AHOY CHEWY FRESH STK 8 OZ","1","2.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","174195","4400005100.0","NAB TRISCUIT HINT OF 8.5 OZ","1","5.15","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124317","4400006011.0","NAB OREO COOKIE 13.29 OZ","1","3","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106369","4337443155.0","RUBBER SPNG 1/4X1X10BLK","1","7.99","Hardware","Sale","ITEM"
"2025-05-15 00:00:00","479754","4300028532.0","STOVE TOP STUFFING CORNBREAD 6 OZ","1","3.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149878","4300005106.0","JELLO STR CHEESCK PUDDING 14.1 OZ","1","3.49","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","479765","4300029320.0","SURE JEL FRUIT PECTN 1.75 OZ","1","4.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149835","4300002822.0","KA JAMMERS BLUE RSP 10PK 60 OZ","1","2.99","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106375","4178900301.0","MAR BOWL CHKN VEG 3.31 OZ","1","1.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149778","4300020143.0","JELLO SF ORANGE .3 OZ","1","1.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","174160","4200015121.0","DIX EVRYDAY PLT 9 IN 48 CT","1","3.5","Nonfood","Sale","ITEM"
"2025-05-15 00:00:00","124302","4280011400.0","TOTINO PEPPERONI PIZZA 10.2 OZ","1","2.79","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","374583","4175702541.0","LAU ORIGINAL WEDGES 5.4 OZ","1","4.99","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","374504","4178027168.0","UTZ CRAB CHIP 7.75 OZ","1","3","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124255","4178027182.0","UTZ RED HOT CHIP 7.75 OZ","1","3","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374577","4178900212.0","MAR RAMEN NDL BEEF 3 OZ","1","0.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479763","4140901731.0","CONCORD STRWBRY GLZ/PCH 16 OZ","1","2.49","Produce","Sale","ITEM"
"2025-05-15 00:00:00","479750","4157005179.0","BD ALMOND SMOKEHOUSE 1.5 OZ","1","1","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479782","4150000025.0","FR MUSTARD CLASSIC YELLOW 14 OZ","1","2.79","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374517","4000000263.0","MARS SNICKER KING SZ 3.29 OZ","1","2.95","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479715","4130800076.0","REAMES EGG NOODLES 24 OZ","1","6.69","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124320","4127100495.0","I DLT ICE COFF MOCHA 64 OZ","1","4.49","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","149742","3400000312.0","HRSH CHOCOLATE SYRUP 24 OZ","1","3.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124296","3560008561.0","FIELD  SUGFREE  BAC 1 LB","1","6.59","Meat","Sale","ITEM"
"2025-05-15 00:00:00","124233","3400029105.0","HRSH ALMOND BARS 6 PK 8.7 OZ","1","7.59","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479662","3260190085.0","EB BABY LETTUCE CLAMSHELL 5 OZ","1","4.99","Wic Produce","Sale","ITEM"
"2025-05-15 00:00:00","374539","3400000163.0","HRSH REESE BIG CUP 1.4 OZ","1","1.65","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149867","3100012614.0","BANQ MEGA MEAL SALISBURY STK 16.95 OZ","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","479770","2100064361.0","KR DRSNG CLASSIC RANCH 16 OZ","1","3.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479594","3120021007.0","OCN SPR CRAN APPLE JUICE 64 OZ","1","5.39","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149841","3100000722.0","BANQ SPAGHETTI N MEATBALLS 10 OZ","1","1.67","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124256","3010078458.0","TOWN HOUSE PITA SEA SALT 9.5 OZ","1","3.5","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106385","2840076863.0","FL LAYS DUAF FLAVOR 7.75 OZ","1","3.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","174178","2900000803.0","FLEIS MOVE OVER BTR SPREAD 10.05 OZ","1","1.99","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","479669","2900007324.0","PLNT DRY ROASTED PEANUTS UNSALTED 16 OZ","1","4.59","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374581","3010047357.0","KBLR CRKR TOAST N PB 10.9 OZ","1","4.79","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374589","2840076852.0","FUNYUNS - ORIGINAL 5.25 OZ","1","5.19","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149872","2840076852.0","FUNYUNS - ORIGINAL 5.25 OZ","1","5.19","Grocery","Sale","ITEM"
