transaction_date,store,terminal,customer_number,transaction_number,points
3/3/2025,461,2,44000346224,400437,16
3/3/2025,461,3,44000326902,181454,44
3/3/2025,461,4,40000020408,178527,11
3/3/2025,461,3,44000216633,181455,5
3/3/2025,461,2,41461002488,400444,11
3/3/2025,461,4,41461003750,178528,76
3/3/2025,461,3,44000113583,181458,24
3/3/2025,461,3,40000020442,181466,83
3/3/2025,461,2,40000020272,400450,58
3/3/2025,461,2,40000021695,400451,5
3/3/2025,461,2,40000021044,400452,23
3/3/2025,461,4,44000061826,178530,8
3/3/2025,461,2,44000254015,400454,12
3/3/2025,461,2,41451003358,400457,25
3/3/2025,461,2,40000020006,400461,39
3/3/2025,461,2,44000276767,400479,32
